timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665921361088,141,Get User by ID,200,OK,stress 1-13,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,141,0,0
1665921362412,555,Get Users,200,OK,stress 1-14,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,555,0,420
1665921362967,143,Delete User,200,OK,stress 1-14,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,143,0,0
1665921363111,144,Get User by ID,200,OK,stress 1-14,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,144,0,0
1665921364416,571,Get Users,200,OK,stress 1-15,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,571,0,438
1665921364988,141,Delete User,200,OK,stress 1-15,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,141,0,0
1665921365129,149,Get User by ID,200,OK,stress 1-15,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,149,0,0
1665921366415,708,Get Users,200,OK,stress 1-16,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,708,0,554
1665921367124,135,Delete User,200,OK,stress 1-16,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,135,0,0
1665921367271,137,Get User by ID,200,OK,stress 1-16,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,137,0,0
1665921368414,619,Get Users,200,OK,stress 1-17,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,619,0,490
1665921369034,125,Delete User,200,OK,stress 1-17,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,125,0,0
1665921369159,130,Get User by ID,200,OK,stress 1-17,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1665921370412,564,Get Users,200,OK,stress 1-18,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,564,0,432
