timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665918599499,126,Delete Users,200,OK,endurance 1-13,text,true,,310,157,6,6,https://project3demo-appservice.azurewebsites.net/api/Users/4,126,0,0
1665918592570,7056,Get Users,200,OK,endurance 1-14,text,true,,784,155,6,6,https://project3demo-appservice.azurewebsites.net/api/Users,7056,0,6904
1665918595854,3881,Get Users,200,OK,endurance 1-15,text,true,,784,155,6,6,https://project3demo-appservice.azurewebsites.net/api/Users,3881,0,3758
1665918599625,125,Delete Users,200,OK,endurance 1-14,text,true,,310,157,6,6,https://project3demo-appservice.azurewebsites.net/api/Users/8,124,0,0
1665918599191,558,Get Users,200,OK,endurance 1-17,text,true,,784,155,6,6,https://project3demo-appservice.azurewebsites.net/api/Users,558,0,421
1665918599625,128,Get User by ID,200,OK,endurance 1-13,text,true,,310,157,6,6,https://project3demo-appservice.azurewebsites.net/api/Users/4,128,0,0
1665918595857,3941,Get Users,200,OK,endurance 1-16,text,true,,784,155,5,5,https://project3demo-appservice.azurewebsites.net/api/Users,3941,0,3796
1665918599191,622,Get Users,200,OK,endurance 1-18,text,true,,784,155,5,5,https://project3demo-appservice.azurewebsites.net/api/Users,622,0,462
1665918599750,135,Get User by ID,200,OK,endurance 1-14,text,true,,310,157,5,5,https://project3demo-appservice.azurewebsites.net/api/Users/8,135,0,0
1665918599750,135,Delete Users,200,OK,endurance 1-17,text,true,,310,157,5,5,https://project3demo-appservice.azurewebsites.net/api/Users/6,135,0,0
1665918599735,150,Delete Users,200,OK,endurance 1-15,text,true,,313,158,5,5,https://project3demo-appservice.azurewebsites.net/api/Users/10,150,0,0
1665918599798,139,Delete Users,200,OK,endurance 1-16,text,true,,310,157,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/2,139,0,0
1665918599814,135,Delete Users,200,OK,endurance 1-18,text,true,,310,157,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/4,135,0,0
1665918599885,129,Get User by ID,200,OK,endurance 1-15,text,true,,313,158,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/10,129,0,0
1665918599885,129,Get User by ID,200,OK,endurance 1-17,text,true,,310,157,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/6,129,0,0
1665918599937,150,Get User by ID,200,OK,endurance 1-16,text,true,,310,157,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/2,150,0,0
1665918599949,140,Get User by ID,200,OK,endurance 1-18,text,true,,310,157,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/4,140,0,0
1665918600566,603,Get Users,200,OK,endurance 1-19,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,603,0,427
1665918601170,145,Delete Users,200,OK,endurance 1-19,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,145,0,0
1665918601315,142,Get User by ID,200,OK,endurance 1-19,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,142,0,0
1665918604569,4695,Get Users,200,OK,endurance 1-21,text,true,,784,155,4,4,https://project3demo-appservice.azurewebsites.net/api/Users,4695,0,4561
1665918609263,139,Delete Users,200,OK,endurance 1-21,text,true,,310,157,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/2,139,0,0
1665918602569,6849,Get Users,200,OK,endurance 1-20,text,true,,784,155,4,4,https://project3demo-appservice.azurewebsites.net/api/Users,6849,0,6700
1665918609403,132,Get User by ID,200,OK,endurance 1-21,text,true,,310,157,4,4,https://project3demo-appservice.azurewebsites.net/api/Users/2,132,0,0
1665918608991,552,Get Users,200,OK,endurance 1-22,text,true,,784,155,3,3,https://project3demo-appservice.azurewebsites.net/api/Users,552,0,411
1665918609417,132,Delete Users,200,OK,endurance 1-20,text,true,,313,158,3,3,https://project3demo-appservice.azurewebsites.net/api/Users/10,132,0,0
1665918608991,558,Get Users,200,OK,endurance 1-23,text,true,,784,155,3,3,https://project3demo-appservice.azurewebsites.net/api/Users,558,0,426
1665918609549,128,Delete Users,200,OK,endurance 1-23,text,true,,310,157,3,3,https://project3demo-appservice.azurewebsites.net/api/Users/6,128,0,0
1665918609544,133,Delete Users,200,OK,endurance 1-22,text,true,,310,157,3,3,https://project3demo-appservice.azurewebsites.net/api/Users/5,133,0,0
1665918609549,128,Get User by ID,200,OK,endurance 1-20,text,true,,313,158,3,3,https://project3demo-appservice.azurewebsites.net/api/Users/10,128,0,0
1665918609677,140,Get User by ID,200,OK,endurance 1-22,text,true,,310,157,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/5,140,0,0
1665918609677,140,Get User by ID,200,OK,endurance 1-23,text,true,,310,157,2,2,https://project3demo-appservice.azurewebsites.net/api/Users/6,140,0,0
1665918615555,569,Get Users,200,OK,endurance 1-24,text,true,,784,155,3,3,https://project3demo-appservice.azurewebsites.net/api/Users,569,0,419
1665918615556,568,Get Users,200,OK,endurance 1-25,text,true,,784,155,3,3,https://project3demo-appservice.azurewebsites.net/api/Users,568,0,418
1665918615555,569,Get Users,200,OK,endurance 1-26,text,true,,784,155,3,3,https://project3demo-appservice.azurewebsites.net/api/Users,569,0,419
1665918616125,127,Delete Users,200,OK,endurance 1-25,text,true,,310,157,3,3,https://project3demo-appservice.azurewebsites.net/api/Users/2,127,0,0
